id	value	cell_tested	state_tested	dnase_tested	cell_picked	state_picked	dnase_picked	matched	coords	len
#10012	1.874	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr8:20,126,149-20,126,443	295
#2136	1.872	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr3:194,489,929-194,490,223	295
#2118	1.868	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr4:144,087,969-144,088,263	295
#2172	1.842	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr15:77,789,189-77,789,483	295
#9980	1.757	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr17:48,253,109-48,253,403	295
#10072	1.680	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr3:56,501,149-56,501,443	295
#10064	1.663	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr20:62,466,389-62,466,683	295
#10052	1.628	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr13:100,593,449-100,593,743	295
#10070	1.570	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr19:40,168,569-40,168,863	295
#2181	1.477	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr22:39,693,629-39,693,923	295
#10017	1.470	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr5:148,737,369-148,737,663	295
#2186	1.435	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr10:49,647,729-49,648,023	295
#2211	1.434	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr16:10,691,089-10,691,383	295
#2132	1.427	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr9:95,433,689-95,433,983	295
#9999	1.384	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr7:157,821,169-157,821,463	295
#10021	1.376	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr1:211,822,349-211,822,643	295
#10000	1.287	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr11:45,921,329-45,921,623	295
#2149	1.225	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr18:19,664,509-19,664,803	295
#10020	1.167	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr15:100,468,569-100,468,863	295
#10030	1.123	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr11:59,521,529-59,521,823	295
#10016	1.113	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr22:31,003,029-31,003,323	295
#2159	1.110	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr4:22,239,789-22,240,083	295
#10053	1.089	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr17:74,128,709-74,129,003	295
#10056	1.075	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr8:74,086,569-74,086,863	295
#10037	1.032	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr1:152,007,549-152,007,843	295
#2137	1.028	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr16:50,343,749-50,344,043	295
#2138	1.006	HepG2	4:PromP	DNase	HepG2	4:PromP	DNase	matched	chr8:94,710,649-94,710,943	295
#2703	10.713	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr6:36,634,909-36,635,203	295
#10546	10.285	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr19:18,484,649-18,484,943	295
#10653	8.763	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr14:100,864,429-100,864,723	295
#2769	7.774	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr13:73,664,609-73,664,903	295
#10445	7.720	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr8:11,486,329-11,486,623	295
#10579	7.495	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr17:41,368,789-41,369,083	295
#10544	6.775	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr6:163,602,229-163,602,523	295
#10622	6.438	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:42,864,889-42,865,183	295
#2793	6.217	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:149,922,549-149,922,843	295
#10665	6.145	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr18:3,060,649-3,060,943	295
#2428	6.092	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:78,023,609-78,023,903	295
#10669	5.982	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr18:3,652,829-3,653,123	295
#10246	5.964	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr4:70,698,309-70,698,603	295
#10210	5.840	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr9:134,610,909-134,611,203	295
#2669	5.803	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chrX:48,897,369-48,897,663	295
#10552	5.798	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr19:48,400,129-48,400,423	295
#10411	5.758	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr7:112,063,049-112,063,343	295
#2794	5.675	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:15,279,269-15,279,563	295
#2746	5.642	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr8:123,769,369-123,769,663	295
#2397	5.618	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr20:10,492,289-10,492,583	295
#2597	5.425	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:115,000,929-115,001,223	295
#10444	5.407	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr4:84,539,629-84,539,923	295
#10461	5.350	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr9:134,481,629-134,481,923	295
#2719	5.321	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:125,903,449-125,903,743	295
#2580	5.304	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr16:69,564,569-69,564,863	295
#10522	5.283	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:52,244,749-52,245,043	295
#2435	5.214	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:53,117,669-53,117,963	295
#10160	5.184	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr20:25,154,609-25,154,903	295
#2781	5.138	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:187,004,369-187,004,663	295
#10449	5.028	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr4:83,453,049-83,453,343	295
#10159	4.902	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr22:35,724,569-35,724,863	295
#2274	4.849	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:135,309,049-135,309,343	295
#2532	4.835	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:109,326,149-109,326,443	295
#10329	4.632	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr10:101,064,309-101,064,603	295
#2549	4.591	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:145,358,909-145,359,203	295
#10477	4.582	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr18:55,113,289-55,113,583	295
#2466	4.548	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:106,899,889-106,900,183	295
#10105	4.433	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr10:126,401,269-126,401,563	295
#2314	4.430	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr9:5,839,289-5,839,583	295
#2502	4.374	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr6:4,059,429-4,059,723	295
#10587	4.358	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr8:141,983,209-141,983,503	295
#10151	4.288	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr13:24,795,229-24,795,523	295
#2365	4.279	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:156,530,329-156,530,623	295
#2430	4.277	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr10:71,177,929-71,178,223	295
#10214	4.270	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:151,238,009-151,238,303	295
#2645	4.253	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:75,482,029-75,482,323	295
#2354	4.179	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr10:123,822,769-123,823,063	295
#2370	4.160	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr17:18,649,929-18,650,223	295
#10249	4.154	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:159,904,629-159,904,923	295
#2332	4.144	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr10:1,019,989-1,020,283	295
#2400	4.141	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:19,267,769-19,268,063	295
#10462	4.068	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chrX:48,571,469-48,571,763	295
#2694	4.060	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr20:34,771,149-34,771,443	295
#2547	4.030	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr8:30,408,209-30,408,503	295
#10241	3.974	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr11:116,696,229-116,696,523	295
#2297	3.873	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr14:34,512,969-34,513,263	295
#10457	3.808	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:77,892,849-77,893,143	295
#10092	3.756	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr16:53,915,389-53,915,683	295
#10376	3.731	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr19:5,871,009-5,871,303	295
#2512	3.719	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr12:110,448,749-110,449,043	295
#10257	3.719	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:36,713,989-36,714,283	295
#2511	3.697	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:32,842,029-32,842,323	295
#2392	3.682	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:36,735,009-36,735,303	295
#2652	3.681	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr19:57,757,409-57,757,703	295
#10631	3.664	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr8:17,519,189-17,519,483	295
#10464	3.636	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr20:30,740,649-30,740,943	295
#2408	3.627	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:56,988,969-56,989,263	295
#2550	3.578	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr9:86,038,969-86,039,263	295
#10504	3.573	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr11:129,731,729-129,732,023	295
#2497	3.554	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:110,316,189-110,316,483	295
#10229	3.545	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:192,242,009-192,242,303	295
#2230	3.544	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr4:123,688,029-123,688,323	295
#10550	3.531	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr9:130,338,449-130,338,743	295
#2473	3.448	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr14:76,114,689-76,114,983	295
#10152	3.418	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:142,975,769-142,976,063	295
#10520	3.354	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr15:40,294,489-40,294,783	295
#2468	3.322	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr16:9,085,849-9,086,143	295
#10629	3.320	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr14:24,071,569-24,071,863	295
#2716	3.315	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:227,024,649-227,024,943	295
#2761	3.283	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr18:20,679,629-20,679,923	295
#10521	3.266	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr10:99,524,209-99,524,503	295
#2698	3.265	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr6:7,201,269-7,201,563	295
#2803	3.252	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:169,545,569-169,545,863	295
#2787	3.235	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr9:38,019,009-38,019,303	295
#2367	3.235	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr5:66,440,049-66,440,343	295
#2431	3.226	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr17:6,655,429-6,655,723	295
#2377	3.213	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr17:8,446,529-8,446,823	295
#10171	3.202	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr4:24,139,529-24,139,823	295
#2416	3.201	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr16:81,491,409-81,491,703	295
#2662	3.189	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:153,261,789-153,262,083	295
#10662	3.165	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr8:144,531,809-144,532,103	295
#2516	3.156	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr22:19,939,169-19,939,463	295
#2509	3.118	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr3:42,773,789-42,774,083	295
#2710	3.110	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr8:39,912,289-39,912,583	295
#2665	3.076	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:46,662,169-46,662,463	295
#10320	3.040	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:69,398,589-69,398,883	295
#2453	3.040	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:65,399,989-65,400,283	295
#2602	3.028	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr21:18,844,989-18,845,283	295
#10228	2.993	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr16:10,719,869-10,720,163	295
#10188	2.970	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr2:42,901,189-42,901,483	295
#10500	2.961	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr6:43,258,649-43,258,943	295
#2531	2.954	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr10:114,062,129-114,062,423	295
#10666	2.949	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr1:234,778,869-234,779,163	295
#10096	2.941	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr18:8,730,409-8,730,703	295
#10538	2.937	HepG2	5:Enh	DNase	HepG2	5:Enh	DNase	matched	chr16:18,588,049-18,588,343	295
